title,price,kilometers,date_posted,location,link
1990 Mazda MX-5,"8,700.00","244,700",2023-08-05,Calgary,https://kijiji.ca/v-cars-trucks/calgary/1990-mazda-mx-5/m6897474
1990 Mazda Miata MX5 Sports Car,"11,900.00","170,000",2023-08-02,Goulbourn,https://kijiji.ca/v-cars-trucks/ottawa/1990-mazda-miata-mx5-sports-car/1667876385
1990 Mazda MX-5 (Part of an Estate Sale),"6,000.00","147,500",2023-07-25,St. Catharines,https://kijiji.ca/v-cars-trucks/st-catharines/1990-mazda-mx-5-part-of-an-estate-sale/m6821875
Red 1990 Mazda Miata,"6,950.00","178,005",2023-07-25,Trenton,https://kijiji.ca/v-cars-trucks/trenton-on/red-1990-mazda-miata/1667075096
2jz swapped na miata,lease Contact,"220,000",2023-07-21,Oshawa,https://kijiji.ca/v-cars-trucks/oshawa-durham-region/2jz-swapped-na-miata/1666745771
1990 Mazda MX-5,"8,000.00","136,000",2023-07-19,Brantford,https://kijiji.ca/v-cars-trucks/brantford/1990-mazda-mx-5/m6785832
1994 Mazda MX-5 base,"11,000.00","227,956",2023-07-15,Oakville / Halton Region,https://kijiji.ca/v-cars-trucks/oakville-halton-region/1994-mazda-mx-5-base/m6764930
Car for sale,lease Contact,"248,000",2023-07-01,Peterborough,https://kijiji.ca/v-cars-trucks/peterborough/car-for-sale/1664912925
Mazda Miata,"9,500.00","134,008",2023-06-24,L'Orignal,https://kijiji.ca/v-cars-trucks/ottawa/mazda-miata/1664217746
